,subjSummary,subj,rel,obj,objSummary,ref
2,Sertraline,Sertraline,More effective,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, Reboxetine",Several antidepressants,"escitalopram, mirtazapine, sertraline, and venlafaxine were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine."
3,Venlafaxine,Venlafaxine,More effective,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, Reboxetine",Several antidepressants,"escitalopram, mirtazapine, sertraline, and venlafaxine were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine."
4,Sertraline,Sertraline,Recommended,as a first choice for the treatment of moderate to severe major depression,First choice treatment,"Sertraline might be the best choice when initiating treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."
5,Reboxetine,Reboxetine,Less effective,"Escitalopram, Mirtazapine, Sertraline, Venlafaxine",Several antidepressants,reboxetine was significantly less efficacious than all the other 11 antidepressants.
6,"Escitalopram, Sertraline","Escitalopram, Sertraline",Well tolerated,"Duloxetine, Paroxetine",Several antidepressants,"Escitalopram and sertraline showed the best profile of acceptability, leading to significantly fewer discontinuations than duloxetine and paroxetine."
7,"Bupropion, Citalopram","Bupropion, Citalopram",Well tolerated,"Duloxetine, Fluvoxamine, Paroxetine, Reboxetine",Several antidepressants,"Bupropion and citalopram were better tolerated than other antidepressants, such as duloxetine, fluvoxamine, paroxetine, and reboxetine."
0,Anxious depression,Anxious depression,More common than,nonanxious depression,nonanxious depression,Anxious depression is associated with poor acute outcome than nonanxious depression following antidepressant treatment.
1,Citalopram,Citalopram,first-line treatment,major depressive disorder,major depressive disorder,STAR*D study provided citalopram as the first-line treatment in level 1.
2,Anxious depression,Anxious depression,Associated with,"higher rates of severity, illness chronicity, functional impairment, and risk of suicidality","higher rates of severity, illness chronicity, functional impairment, risk of suicidality","Anxious depression is associated with higher rates of severity, illness chronicity, functional impairment, and risk of suicidality compared to nonanxious depression."
3,Anxious depression,Anxious depression,Symptom,major depressive disorder with high levels of anxiety symptoms,major depressive disorder with high levels of anxiety symptoms,Anxious depression is defined as major depressive disorder with high levels of anxiety symptoms.
4,Citalopram,Citalopram,Treats,major depressive disorder in adults,major depressive disorder in adults,All participants received citalopram to treat major depressive disorder in level 1 of STAR*D
5,Anxious depression,Anxious depression,Less effective,citalopram treatment in achieving remission compared to nonanxious depression,citalopram treatment in achieving remission compared to nonanxious depression,Anxious depression is associated with less likelihood of remission with citalopram treatment compared to nonanxious depression in level 1 of STAR*D.
6,Anxious depression,Anxious depression,Definition,major depressive disorder with a baseline HAMD anxiety/somatization factor score of 7 or higher,major depressive disorder with a baseline HAMD anxiety/somatization factor score of 7 or higher,Anxious depression was defined as major depressive disorder with a baseline 17-item Hamilton Rating Scale for Depression (HAMD) anxiety/somatization factor score of 7 or higher.
0,Anxious depression,Anxious depression,More common than,nonanxious depression,nonanxious depression,"Anxious depression be significantly more common than nonanxious depre - sion among African Americans than in other racial / ethnicgroup ; among Hispanic than non - Hispanic ; amongthose see in primary care setting than those in psychiat - ric care setting ; among those who be unemployed thanthose who be employ ; among those who be mar - rie , divorced , or widow than among those who hadnever marry ; and among those with less education , those with public insurance , and those with less income."
1,Anxious depression,Anxious depression,Associated with,"higher rates of suicidality, unemployment, less education, public insurance, and lower income",negative life impacts,"In addition , anxious depression be associate with a great likelihood of reporte suicidal ideation on the ham - d , a personal his - tory of attempt suicide , and a family history of drug abuse . Further, anxious depression be significantly more common among African Americans, Hispanics, those seen in primary care, unemployed, those with less education, those with public insurance, and those with lower income."
2,Anxious depression,Anxious depression,More effective than,nonanxious depression,nonanxious depression,remission was significantly less likely and took longer to occur in these patients than in those with nonanxious depression.
3,Anxious depression,Anxious depression,Associated with,significant clinical and sociodemographic differences from those without anxious depression,differences,Anxious depression be also associate with significant clinical and sociodemographic differences from those without anxious depression.
4,All Depression,All Depression,Treats,Cognitive Behavioral Therapy (CBT),CBT," Treatment could last up to 14 weeks in each level, involving methods that include elements of CBT."
5,Citalopram,Citalopram,first-line treatment,nonpsychotic major depressive disorder,nonpsychotic MDD,all participants with nonpsychotic major depressive disorder received citalopram in level 1 of STAR*D.
0,Anxious depression,Anxious depression,More common than,nonanxious depression,nonanxious depression,"Anxious depression --> more common than -> nonanxious depression -> in -> African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less, Education, Public insurance, Lower-income"
1,Anxious depression,Anxious depression,Associated with,lower remission rates compared to nonanxious depression following antidepressant treatment,lower remission rates,Anxious depression be significantly less likely and take longer to occur in these patients than in those with nonanxious depression
2,Anxious depression,Anxious depression,Associated with,greater rate of side effects and serious adverse events compared to nonanxious depression,greater rate of side effects,The anxious depression group had significantly higher mean QIDS-SR score at exit and significantly lower raw QIDS-SR change score and percentage change in QIDS-SR score than the nonanxious depression group
3,Citalopram,Citalopram,first-line treatment,major depressive disorder in STAR*D Level 1,major depressive disorder,An integral part of our measurement-based care intervention ... Citalopram
0,Anxious depression,Anxious depression,More common than,nonanxious depression,nonanxious depression,"Anxious depression more common than nonanxious depression in African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less, Education, Public insurance, Lower-income"
1,Anxious depression,Anxious depression,Associated with,poor acute outcome than nonanxious depression following antidepressant treatment,poor outcome,Anxious depression is associated with poor acute outcome than nonanxious depression following antidepressant treatment.
2,Anxious depression,Anxious depression,Associated with,"Greater severity of depression, more concurrent anxiety disorder, more melancholic/endogenous feature, unemployment, less education, marital status (divorced/widowed), public insurance, lower income",worse clinical features,Anxious depression is associated with worse clinical features compared to nonanxious depression.
3,Citalopram,Citalopram,first-line treatment,major depressive disorder in STAR*D study,MDD,Citalopram was used as a first-line treatment for major depressive disorder in the STAR*D study.
4,Anxious depression,Anxious depression,Less effective,treatment with citalopram than nonanxious depression,citalopram treatment,Patients with anxious depression were less likely to achieve remission with citalopram treatment than those with nonanxious depression.
5,Anxious depression,Anxious depression,Associated with,"greater side effects frequency, intensity, burden, and more serious adverse events during citalopram treatment",more side effects and serious adverse events,"Patients with anxious depression experienced a greater frequency, intensity, and burden of side effects, as well as more serious adverse events during citalopram treatment."
6,Citalopram,Citalopram,Treats,major depressive disorder but with differentiated effectiveness in anxious vs nonanxious depression,MDD with varied effectiveness,"Citalopram treats major depressive disorder, showing differentiated effectiveness in anxious versus nonanxious depression."
0,Anxious depression,Anxious depression,More common than,nonanxious depression,nonanxious depression,"Anxious depression is significantly more common than nonanxious depression among African Americans than in other racial/ethnic groups; among Hispanics than non-Hispanics; among those seen in primary care settings than those in psychiatric care settings; among those who are unemployed than those who are employed; among those who are married, divorced, or widowed than among those who had never married; and among those with less education, those with public insurance, and those with lower income."
1,Anxious depression,Anxious depression,Associated with,"unemployment, low education, public insurance, lower income, severe depression, greater perceived physical impairment, diminished quality of life, later onset of major depression, more concurrent anxiety disorders, more melancholic/endogenous features, more medical comorbidity",multiple hardships,"Anxious depression is associated with unemployment, low education, public insurance, lower income, severe depression, greater perceived physical impairment, diminished quality of life, later onset of major depression, more concurrent anxiety disorders, melancholic/endogenous features, and more medical comorbidity."
2,Anxious depression,Anxious depression,Less effective,citalopram treatment compared to those with nonanxious depression,citalopram,Anxious depression is less likely to respond or to remit with citalopram treatment compared to those with nonanxious depression.
3,Anxious depression,Anxious depression,Associated with,"greater side effect frequency, intensity, burden, and more serious adverse events compared to nonanxious depression",side effects and adverse events,"Despite similar citalopram dosages in both groups, anxious depression is associated with greater side effect frequency, intensity, burden, and more serious adverse events, including psychiatric nature, compared to nonanxious depression."
4,Citalopram,Citalopram,first-line treatment,Major depressive disorder in the STAR*D Level 1 treatment,MDD in STAR*D Level 1,Citalopram was used as the first-line treatment for major depressive disorder in the Sequenced Treatment Alternatives to Relieve Depression (STAR*D) Level 1 treatment.
5,Anxious depression,Anxious depression,Benefits,Anxious depression taking longer to remit with treatment than nonanxious depression,longer remission time,Those with nonanxious depression achieve remission and response sooner on average than those with anxious depression.
6,Anxious depression,Anxious depression,Associated with,"low socioeconomic status, great severity of depression, late onset of depression, high physical illness burden, and significant clinical and sociodemographic differences",various hardships,"Anxious depression is associated with low socioeconomic status, great severity of depression, late onset of depression, high physical illness burden, and significant clinical and sociodemographic differences."
