,subjsummary,subj,rel,obj,objsummary,ref
3,ad,anxious depression,results,longer time to remission and response on average than nonanxious depression,longer time to remission,"""the time to first remission and first response differ significantly between the anxious and nonanxious depression group"""
4,citalopram,citalopram,treats,symptoms in level 1 of star*d in nonanxious depression more effectively than in anxious depression,symptoms in nonanxious depression,"""patient withanxious depression be less likely to respond or to remit with citalopram treatment than those with nonanxious depression"""
5,sr bupropion,sustained-release bupropion,dosage,up to 400 mg per day,400 mg/day,"""to sustain - release bupropion ( at a dose of up to 400 mg per day"""
6,sertraline,sertraline,dosage,maximal daily dose of 200 mg,200 mg/day,"""sertraline ( at a maximal daily dose of 200 mg"""
7,xr venlafaxine,extended-release venlafaxine,dosage,maximal daily dose of 375 mg,375 mg/day,"""extend - re- lease venlafaxine ( at a maximal daily dose of 375 mg"""
8,buspirone,buspirone,dosage,up to 60 mg per day,60 mg/day,"""bus- pirone ( at a dose of up to 60 mg per day"""
9,ad,anxious depression,results,less likely to achieve remission,lower remission rates,"""patient with anxious depression be also less likely than those with nonanxious depre - sion to achieve remission"""
0,anxious depression,anxious depression,associated with,greater side effect burden,greater side effect burden,"side effect frequency , intensity , and burden in level 1 be great among patient with anxious depression thanamong those with nonanxious depression"
1,nonanxious depression,nonanxious depression,associated with,lower side effect burden,lower side effect burden,"side effect frequency , intensity , and burden in level 1 be great among patient with anxious depression thanamong those with nonanxious depression"
2,anxious depression,anxious depression,associated with,serious adverse events,serious adverse events,"as be serious adverse event , include those of a psychiatric nature"
3,anxious depression,anxious depression,results,lower remission rates,lower remission rates,patient with this subtype be less likely to achieve remission than those with nonanxious depression after antidepressant treatment
4,nonanxious depression,nonanxious depression,results,higher remission rates,higher remission rates,patient with this subtype be less likely to achieve remission than those with nonanxious depression after antidepressant treatment
5,anxious depression,anxious depression,symptom,physical symptom sensitivity,physical symptom sensitivity,perhaps patient whose illness include anxious feature be more sensitive to somatic change occur during antidepressant treatment
6,ms. d's case,ms. d's case,associated with,worsening of insomnia and nervousness,worsening of insomnia and nervousness,"within a few day of start the medication , she call we express her concern about the side effect that she be experience ; in particular , she be worried about the worsening of her insomnia and her nervousness"
7,anxious depression,anxious depression,definition,major depressive disorder with prominent anxiety features,mdd with anxiety features,"in this and our two previousstudie , anxious depression appear to be associate with a characteristic clinical profile , independent ofseverity of depression"
8,citalopram,citalopram,treats,anxious depression,anxious depression,ms . d be start on a course of antidepressant therapy with citalopram
