,subjsummary,subj,rel,obj,objsummary,ref
3,sertraline,sertraline,more effective,paroxetine,paroxetine,"""sertraline ... significantly more efficacious than paroxetine (or 1·22), ..."""
4,reboxetine,reboxetine,less effective,all other tested antidepressants,antidepressants,"""reboxetine was significantly less efficacious than all the other antidepressants tested."""
5,escitalopram,escitalopram,benefits,acceptability profile,acceptability,"""escitalopram and sertraline show the best profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."""
6,sertraline,sertraline,highly effective,moderate to severe major depression in adults,major depression,"""sertraline might be the best choice when initiating treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."""
0,data abstraction form,a structured data-abstraction form,definition,a tool ensuring consistency of appraisal for each study,consistency tool,"""we use a structured data-abstraction form to ensure consistency of appraisal for each study"""
1,quality rating,study quality rating,definition,classification of study adequacy based on random allocation concealment and blinding,study adequacy classification,"""we give study a quality rating of adequate, unclear, or inadequate, according to the adequacy of the random allocation concealment and blinding"""
2,acute treatment,acute treatment definition,definition,8-week treatment period for both efficacy and acceptability analyses,8-week treatment,"""outcome measures we defined acute treatment as 8-week treatment for both efficacy and acceptability analyses"""
3,response,response definition,definition,"the proportion of patients with a reduction of at least 50% from baseline score on hdrs, madrs, or 'much improved' or 'very much improved' on cgi at 8 weeks",treatment efficacy indicator,"""we defined response as the proportion of patients who have a reduction of at least 50% from the baseline score on the hamilton depression rating scale (hdrs) or montgomery–åsberg depression rating scale (madrs), or who score much improved or very much improved on the clinical global impression (cgi) at 8 weeks"""
4,treatment discontinuation,treatment discontinuation (acceptability) definition,definition,the number of patients who terminate the study early for any reason during the first 8 weeks of treatment,study dropout measure,"""finally, we defined treatment discontinuation (acceptability) as the number of patients who terminate the study early for any reason during the first 8 weeks of treatment (dropout)"""
5,dosage comparability,comparability of dosage assessment,definition,"analyzing dosage equity among new-generation antidepressants without a clear definition for dosage equivalence, using a modified version of a previously published classification",dosage equity analysis,"""comparability of dosage in addition to internal and external validity, we assess the comparability of dosage."""
6,dosage range,dosage classification,definition,"categorization based on low and upper dosing range into low, medium, high quartiles for each antidepressant",dosing range categorization,"""table 1: dose classification based on low and upper dosing range quartiles"""
0,meta-analysis,pair-wise meta-analysis,overview,synthesizes studies that compare the same intervention with a random effect model to incorporate different yet related treatment effects,synthesis method,"first, we do pair-wise meta-analysis by synthesising 17 study that compare the same intervention with a random-effect model to incorporate the assumption that different study assess different, yet relate, treatment effects."
1,comparison network,network of eligible comparisons for meta-analysis,overview,combines direct and indirect evidence for any given pair of treatments,combination method,this method combine direct and indirect evidence for any give pair of treatment.
2,assessment method,use of p values and 95% cis,overview,assess significance and estimate the plausible range for the magnitude of the population difference,significance and estimation method,"we use p value less than 0.05 and 95% cis (according to whether the ci include the null value) to assess significance, and look at a plausible range for the magnitude of the population difference."
3,incoherence estimation,calculating the ratio of odds ratios for indirect vs direct evidence,overview,estimates incoherence in the analysis network,incoherence analysis,"to estimate incoherence, we calculate the ratio of odd ratio for indirect versus direct evidence whenever indirect estimate could be constructed with a single common comparator."
4,fluoxetine,fluoxetine,definition,first among the 12 antidepressants to be marketed in europe and the usa and consistently used as a reference drug in different pairwise comparisons,reference drug,"we express these use fluoxetine as reference drug, because it be the first among these 12 antidepressant to be market in europe and the usa, and it have be consistently use as reference drug among the different pair-wise comparison."
5,sensitivity analysis,sensitivity analysis variables,overview,includes dose (only studies within the therapeutic range) and imputation (only studies without imputation),analysis variables,we do sensitivity analysis according to the follow variable: dose (include only study within the therapeutic range) and imputation (include only study without imputation).
0,meta-analysis,the multiple-treatment meta-analysis,results,used 117 trials from 1991 to 2007,117 trials (1991-2007),"""overall, we used 117 trials from 1991 to 2007 for the multiple-treatment meta-analysis"""
1,patients,"25,928 individuals",results,were randomly assigned to one of the 12 antidepressant drugs,12 antidepressant drugs,"""overall, 25 928 individual were randomly assigned to one of the 12 antidepressant drugs and were include in the multiple-treatment meta-analysis"""
2,comparison,bupropion vs escitalopram,comparable to,in terms of efficacy and acceptability,efficacy and acceptability,"""bupropion vs escitalopram 3 842 163/279 vs 172/287 0·93 (0·60–1·45) 105/417 vs 109/425 0·98 (0·72–1·34)"""
3,mirtazapine,mirtazapine,more effective,than other antidepressants in several comparisons,several antidepressants,"""mirtazapine 1 270 117/133 vs 116/137 1.32 (0.66–2.66) 8/133 vs 18/137 0.42 (0.18–1.01)"""
4,venlafaxine,venlafaxine,highly effective,against major depressive disorder,major depressive disorder,"""venlafaxine 12 2446 607/1126 vs 679/1116 0.74 (0.62–0.88) 290/1226 vs 302/1220 0.94 (0.78–1.13)"""
5,reboxetine,reboxetine,less effective,compared to other antidepressants in the study,other antidepressants,"""reboxetine 4 764 204/387 vs 168/377 1.39 (0.93–2.09) 98/387 vs 126/377 0.68 (0.49–0.94)"""
6,trials,most trials,results,were carried out in north america and europe,north america and europe,"""most trials (63%) were carried out in north america and europe"""
7,duloxetine vs escitalopram,duloxetine vs escitalopram,more commonly used,comparison in study for understanding antidepressants efficacy,understanding antidepressants efficacy,"""duloxetine vs escitalopram 3 1120 260/562 vs 286/558 0.77 (0.52–1.13) 131/411 vs 87/414 1.93 (0.99–3.77)"""
8,duloxetine,duloxetine,side effects,more dropout due to adverse effects compared to escitalopram,dropouts (adverse effects),"""duloxetine vsescitalopram 3 1120 260/562 vs 286/558 0.77 (0.52–1.13) 131/411 vs 87/414 1.93 (0.99–3.77)"""
0,study design,study design,definition,involves two different active comparisons and placebo or two active compounds at various fixed dosages and placebo or three different active comparisons,involves two different active comparisons and placebo or two active compounds at various fixed dosages and placebo or three different active comparisons,85 study be two - arm trial ; 23 be three - arm trial involve two diﬀ   erent active comparison and placebo ; seven be multi - arm trial involve two active compound at various ﬁ   xe dosage and placebo ; and two be three - arm trial with three diﬀ   erent active comparison.
1,follow-up,follow-up duration,definition,"the duration for which a study tracks outcomes after the initial intervention, which in this context, exceeds 12 weeks for only 14 studies",duration exceeding 12 weeks,only 14 study ( compare all include antidepressant except ﬂ   uvoxamine and milnacipran ) have a follow - up long than 12 week.
2,clinical settings,clinical settings of studies,definition,"locations where the studies were conducted, with the majority being in outpatient clinics",mainly outpatient clinics,87 be carry out in outpatient clinic ( seven in primary care )
3,participant demographics,participant demographics,definition,"characteristics of study participants, including a majority being women and a mix of ages with some studies specifically recruiting individuals older than 65","majority women, various ages","participant ( 64 % ) be woman. 53 study ( 9321 participant ) include individual age 65 year or young ( eight recruit only individual old than 65 , n=1583 )"
4,hdrs-17,hdrs-17,definition,"hamilton depression rating scale with 17 items, a tool used to rate the severity of a patient's major depression",tool for rating depression severity,the overall mean baseline score at study entry be 23·47 ( sd 4·27 ) for hdrs-17
5,hdrs-21,hdrs-21,definition,"hamilton depression rating scale with 21 items, an extended version of hdrs for more detailed depression severity assessment",extended tool for detailed depression severity assessment,25·72 ( 4·62 ) for hdrs-21
6,comparisons of antidepressants,comparisons of antidepressants,definition,evaluations between two or more antidepressants to determine efficacy and acceptability through metrics like response rate and dropout rate,evaluations between antidepressants,fluvoxamine vs citalopram 1 217 31/109 vs 33/108 0·90 ( 0·50–1·62 ) 29/109 vs 22/108 1·42 ( 0·75–2·66 )
0,escitalopram,escitalopram,more effective,citalopram,citalopram,"""efficacy favour escitalopram over citalopram"""
1,citalopram,citalopram,more effective,"reboxetine, paroxetine","reboxetine, paroxetine","""citalopram over reboxetine and paroxetine"""
2,mirtazapine,mirtazapine,more effective,"fluoxetine, venlafaxine","fluoxetine, venlafaxine","""mirtazapine over fluoxetine and venlafaxine"""
3,sertraline,sertraline,more effective,fluoxetine,fluoxetine,"""sertraline over fluoxetine"""
4,venlafaxine,venlafaxine,more effective,"fluoxetine, fluvoxamine","fluoxetine, fluvoxamine","""venlafaxine over fluoxetine and fluvoxamine"""
5,fluoxetine,fluoxetine,more tolerated than,reboxetine,reboxetine,"""fluoxetine be well tolerate than reboxetine"""
6,citalopram,citalopram,more tolerated than,sertraline,sertraline,"""citalopram than sertraline"""
7,"escitalopram, mirtazapine, sertraline, venlafaxine","escitalopram, mirtazapine, sertraline, venlafaxine",more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","""escitalopram, mirtazapine, sertraline, and venlafaxine be significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine"""
8,reboxetine,reboxetine,less effective,all other antidepressants,all other antidepressants,"""reboxetine be significantly less efficacious than all the other 11 antidepressants"""
9,"duloxetine, paroxetine","duloxetine, paroxetine",less tolerated than,"escitalopram, sertraline","escitalopram, sertraline","""in term of acceptability, duloxetine and paroxetine be less well tolerate than escitalopram and sertraline"""
10,fluvoxamine,fluvoxamine,less tolerated than,"citalopram, escitalopram, sertraline","citalopram, escitalopram, sertraline","""fluvoxamine less well tolerate than citalopram, escitalopram, and sertraline"""
11,venlafaxine,venlafaxine,less tolerated than,escitalopram,escitalopram,"""venlafaxine less well tolerate than escitalopram"""
12,reboxetine,reboxetine,less tolerated than,"bupropion, citalopram, escitalopram, fluoxetine, sertraline","bupropion, citalopram, escitalopram, fluoxetine, sertraline","""reboxetine less well tolerate than many other antidepressants, such as bupropion, citalopram, escitalopram, fluoxetine, and sertraline"""
0,fluoxetine,fluoxetine,more effective,reboxetine,reboxetine,"""more eﬃcacious than reboxetine"""
1,fluoxetine,fluoxetine,results,higher acceptability than reboxetine,higher acceptability,"""in term of acceptability, ﬂuoxetine be well than reboxetine"""
2,mirtazapine,mirtazapine,highly effective,treatment for depression,treatment,"""mirtazapine, escitalopram, venlafaxine, and sertraline be among the most eﬃcacious treatment"""
3,escitalopram,escitalopram,highly effective,treatment for depression,treatment,"""escitalopram, sertraline, bupropion, and citalopram be well tolerate than the other remain antidepressant"""
4,venlafaxine,venlafaxine,highly effective,treatment for depression,treatment,"""mirtazapine, escitalopram, venlafaxine, and sertraline be among the most eﬃcacious treatment"""
5,sertraline,sertraline,highly effective,treatment for depression,treatment,"""escitalopram, sertraline, bupropion, and citalopram be well tolerate than the other remain antidepressant"""
6,bupropion,bupropion,highly effective,treatment for depression in terms of acceptability,acceptable treatment,"""escitalopram, sertraline, bupropion, and citalopram be well tolerate than the other remain antidepressant"""
7,citalopram,citalopram,highly effective,treatment for depression in terms of acceptability,acceptable treatment,"""escitalopram, sertraline, bupropion, and citalopram be well tolerate than the other remain antidepressant"""
0,mdd,major depression,definition,acute phase treatment for depression is discussed.,acute phase treatment,finding from this analysis apply only to acute-phase treatment (8 week) of depression.
1,mdd,major depression,treatment options,new-generation antidepressants,new-gen antidepressants,our finding might help to choose among new-generation antidepressants for acute treatment of major depression.
2,antidepressants,"mirtazapine, escitalopram, venlafaxine, sertraline",more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",other antidepressants,"in terms of response, mirtazapine, escitalopram, venlafaxine, and sertraline are more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine."
3,antidepressants,"escitalopram, sertraline, citalopram, bupropion",more effective,other new-generation antidepressants in terms of acceptability,other antidepressants,"in terms of acceptability, escitalopram, sertraline, citalopram, and bupropion are well tolerated than other new-generation antidepressants."
4,reboxetine,reboxetine,not effective,major depression,mdd,reboxetine should not be used as a routine first-line acute treatment for major depression.
5,antidepressants,escitalopram and sertraline,benefits,good balance between efficacy and acceptability,balance,the most important clinical implication of the result is that escitalopram and sertraline might be the good choice when starting a treatment for moderate to severe major depression because they have the good possible balance between efficacy and acceptability.
0,sertraline,sertraline,more effective,other new-generation antidepressant drugs,new-gen drugs,our analysis suggest that sertraline be well than other new-generation drug in term of eﬃcacy and acceptability
1,placebo-controlled trials,placebo-controlled trials,requirements,marketing authorisation for novel antidepressant drugs,marketing authorisation,"placebo-control trial be require to adequately assess the eﬃcacy of novel antidepressant drugs. in both the usa and europe, regulatory authority require placebo-control study for marketing authorisation."
2,placebo response,response to placebo across antidepressant trials,results,clearly increased over the past two decades,increased,response to placebo across antidepressant trial have be show to vary and have clearly increase in the past two decade
3,sponsorship bias,sponsorship bias,associated with,antidepressant trials,trials,"evidence exist of presence of sponsorship bias ( ie , the bias associate with the commercial interest of industrial sponsor ) in medicine"
4,sponsorship bias,sponsorship bias,results,discrepancy between meta-analysis results and direct comparison results,discrepancy,some discrepancy exist between some of the result of the multiple-treatment meta-analysis and those in the direct comparison
5,placebo-controlled trials,placebo-controlled trials,definition,trials mainly designed for regulatory approval purpose meeting ethical and safety requirements,definition,placebo-control trial be mainly design for regulatory approval purpose; to meet both ethical and safety requirement
6,assessment timing,assessment of efficacy,results,wide differences in treatment outcome,differences,"clinically, the assessment of efficacy after 6 week of treatment or after 16–24 week or more might lead to wide differences in treatment outcome"
0,snri,serotonin and noradrenaline reuptake inhibitors (snri),definition,a class of medications used in the treatment of major depressive disorder,medication class,"""serotonin and noradrenaline reuptake inhibitors: an overview of its antidepressant activity and clinical tolerability."""
1,venlafaxine,venlafaxine,example,ssris and other antidepressants,antidepressants,"""efficacy and tolerability of venlafaxine compared with selective serotonin reuptake inhibitors and other antidepressants: a meta-analysis."""
2,sga,second-generation antidepressants,definition,a group of antidepressants characterized by their novel mechanism of action compared to first-generation antidepressants,antidepressants class,"""efficacy and safety of second-generation antidepressants in the treatment of major depressive disorder."""
3,fluoxetine,fluoxetine,comparable to,other antidepressants,antidepressants,"""are all antidepressants really the same? the case of fluoxetine: a systematic review."""
4,antidepressants,antidepressants that combine serotonergic and noradrenergic mechanisms of action,more effective,selective serotonin reuptake inhibitors (ssris),ssris,"""are antidepressant drugs that combine serotonergic and noradrenergic mechanisms of action more effective than the selective serotonin reuptake inhibitors in treating major depressive disorder? a meta-analysis of studies of newer agents."""
5,venlafaxine,venlafaxine,definition,a serotonin-noradrenaline reuptake inhibitor (snri) used to treat major depressive disorder,snri,"""comprehensive analysis of remission (compare) with venlafaxine versus ssris."""
6,side effects,the selective noradrenaline reuptake inhibitor,side effects,lack of sexual dysfunction,side effect,"""lack of sexual dysfunction with the selective noradrenaline reuptake inhibitor reboxetine during treatment for major depressive disorder."""
0,bupropion,bupropion xl,comparable to,escitalopram,escitalopram,"""bupropion xl compare with escitalopram : effect on sexual functioning and antidepressant efficacy in two randomize , double - blind , placebo control study""."
1,venlafaxine,venlafaxine,comparable to,fluoxetine,fluoxetine,"""a double - blind comparison of venlafaxine and fluoxetine in patient hospitalize for major depression and melancholia""."
2,milnacipran,milnacipran,comparable to,fluvoxamine,fluvoxamine,"""antidepressant efficacy and tolerability of milnacipran, a dual serotonin and noradrenaline reuptake inhibitor : a comparison with fluvoxamine""."
3,sertraline,sertraline treatment,associated with,sexual dysfunction,sexual dysfunction,"""sexual dysfunction associate with the treatment of depression : a placebo - control comparison of bupropion sustain release and sertraline treatment""."
4,escitalopram,escitalopram (10 mg/day),comparable to,citalopram (20 mg/day),citalopram,"""a randomize , double - blind , 24 - week study of escitalopram (10 mg/day) versus citalopram (20 mg/day) in primary care patient with major depressive disorder""."
5,paroxetine,paroxetine,comparable to,fluoxetine,fluoxetine,"""a double-blind study of paroxetine , fluoxetine , and placebo in outpatient with major depression""."
6,venlafaxine,venlafaxine,comparable to,fluvoxamine,fluvoxamine,"""efficacy and safety of venlafaxine vs. fluvoxamine in outpatient with major depression""."
7,duloxetine,duloxetine,comparable to,paroxetine,paroxetine,"""duloxetine in the treatment of depression : a double-blind placebo-controlled comparison with paroxetine""."
8,milnacipran,milnacipran,comparable to,fluoxetine,fluoxetine,"""a double-blind comparison of the efficacy and safety of milnacipran and fluoxetine in depressed inpatient""."
9,mirtazapine,mirtazapine,comparable to,venlafaxine,venlafaxine,"""mirtazapine versus venlafaxine in hospitalize severely depress patient with melancholic feature""."
10,reboxetine,reboxetine,comparable to,citalopram,citalopram,"""efficacy and tolerability of reboxetine compare with citalopram : a double-blind study in patient with major depressive disorder""."
0,venlafaxine xr,venlafaxine xr,comparable to,paroxetine,paroxetine,"""a comparison of once - daily venlafaxine xr and paroxetine in depressed outpatient treat in general practice"""
1,venlafaxine,venlafaxine,comparable to,sertraline,sertraline,"""randomize, double - blind comparison of venlafaxine and sertraline in outpatient with major depressive disorder"""
2,escitalopram,escitalopram,comparable to,venlafaxine xr,venlafaxine xr,"""a randomise study compare escitalopram with venlafaxine xr in primary care patients with major depressive disorder"""
3,escitalopram,escitalopram,comparable to,citalopram,citalopram,"""prospective, multicentre, randomize, double - blind study of the efficacy of escitalopram versus citalopram in outpatient treatment of major depressive disorder"""
4,fluvoxamine,fluvoxamine,comparable to,sertraline,sertraline,"""double - blind multicenter comparison of fluvoxamine versus sertraline in the treatment of depressed outpatient"""
5,venlafaxine,venlafaxine,comparable to,fluoxetine,fluoxetine,"""a double - blind, placebo - control comparison of venlafaxine and fluoxetine treatment in depressed outpatient"""
6,sertraline,sertraline,comparable to,fluoxetine,fluoxetine,"""a double - blind comparison of sertraline and fluoxetine in depressed elderly outpatient"""
7,duloxetine,duloxetine,comparable to,"escitalopram, placebo","escitalopram, placebo","""duloxetine versus escitalopram and placebo in the treatment of patients with major depressive disorder : onset of antidepressant action, a non-inferiority study"""
0,anxious depression,anxious depression,results,poorer acute outcomes,poor outcomes,"""anxious depression be associate with poor acute outcome than nonanxious depression follow antidepressant treatment"""
1,major depressive disorder,major depressive disorder,symptom,anxiety,anxiety,"""p atient with major depressive disorder often also suffer from anxiety"""
2,citalopram,citalopram,first-line treatment,major depressive disorder in star*d level 1,mdd in star*d l1,"""in level 1 of star*d ... receive citalopram"""
3,sertraline,sertraline,second-line treatment,major depressive disorder in star*d level 2,mdd in star*d l2,"""in level 2, ... switch to ... sertraline"""
4,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"""in both subsample , patient with anxious depression be significantly more likely to be unemployed, to have less education, to be more severely depressed"""
5,side effects,side effects,more common in,anxious depression,anxious depression,"""rating of side effect frequency , intensity , and burden , as well as the number of serious adverse event , be significantly great in the anxious depression group"""
0,anxious depression,anxious depression,definition,major depressive disorder with high level of anxiety symptoms,mdd with anxiety,"""anxious depression be define as major depressive disorder with high level of anxiety symptom"""
1,anxious depression,anxious depression,symptom,"psychic anxiety, somatic anxiety, gastrointestinal somatic symptoms, general somatic symptoms, hypochondriasis, insight",anxiety symptoms,"""the anxiety/somatization factor, derive from cleary and guy's factor analysis of the ham-d scale, include six item: psychic anxiety, somatic anxiety, gastrointestinal somatic symptoms, general somatic symptoms, hypochondriasis, and insight"""
2,citalopram,citalopram,goal,achieve symptom remission in major depressive disorder,symptom remission in mdd,"""the aim of citalopram treatment in level 1 be to achieve symptom remission"""
3,citalopram,citalopram,dosage,begin at 20 mg/day and be raise to 40 mg/day by week 2-4 and to 60 mg/day (final dose) by week 4-6,20 mg to 60 mg,"""citalopram be to begin at 20 mg/day and be raise to 40 mg/day by week 2-4 and to 60 mg/day (final dose) by week 4-6"""
4,star*d,star*d,overview,determine which treatment would be most effective for outpatient with nonpsychotic major depressive disorder,optimal treatment for mdd,"""briefly, star*d aim to determine prospectively which of several treatment would be most effective for outpatient with nonpsychotic major depressive disorder"""
5,star*d,star*d,requirements,"18–75 years of age, meet dsm-iv criteria for nonpsychotic major depressive disorder",eligibility criteria,"""for eligibility, patient have to be 18–75 year of age, meet dsm-iv criterion for single or recurrent nonpsychotic major depressive disorder"""
0,citalopram,citalopram,definition,a treatment,treatment,after an optimal trial of citalopram ( base on dose and duration )
1,side effects,intolerable side effects,side effects,citalopram,citalopram,patients could discontinue citalopram before 12 weeks if intolerable side effects make a medication change necessary
2,citalopram,citalopram,treats,symptoms of depression,depression symptoms,patients whose symptoms respond or remit could enter the 12 - month naturalistic follow - up phase
3,qid-c score,qid-c score > 5,symptom,inadequate response to citalopram,inadequate citalopram response,patients could opt to move to the next treatment level if their qid - c score be > 5 after a trial of adequate dosage and duration
4,ham-d score,ham-d score ≤7 or last observed qids-sr score ≤5,results,remission of depression,depression remission,remission be define as an exit ham - d score ≤7 or last observe qids - sr score ≤5
5,qids-sr score,qids-sr score,definition,a rating scale for depressive symptoms,rating scale,"secondary outcome measure include the qid - sr and the rating scale for frequency, intensity, and burden of side effects at baseline and at each treatment visit."
6,dosage,maximum citalopram dosage,dosage,"20-39 mg/day, 40-49 mg/day, ≥50 mg/day",dosage range,"maximum citalopram dosage ( mg / day ) 20–39, 40–49, ≥50"
7,treatment duration,time in treatment,details,"< 4 weeks, ≥4 but < 8 weeks, ≥8 weeks",duration,"time in treatment ( week ) < 4, ≥4 but < 8, ≥8"
8,citalopram,citalopram,not effective,patients for whom exit ham-d score is missing,missing ham-d score,patients for whom the exit ham - d score be miss be designate as not achieve remission
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression be significantly more common than nonanxious depression among african americans than in other racial/ethnic group; among hispanic than non-hispanic; among those see in primary care setting than those in psychiatric care setting; among those who be unemployed than those who be employed; among those who be married, divorced, or widow than among those who had never marry; and among those with less education, those with public insurance, and those with less income."
1,anxious depression,anxious depression,associated with,suicidal ideation,suicidal ideation,"in addition, anxious depression be associate with a great likelihood of reported suicidal ideation on the ham-d."
2,anxious depression,anxious depression,associated with,family history of drug abuse,family history of drug abuse,"in addition, anxious depression be associate with a great likelihood of reported suicidal ideation on the ham-d, a personal history of attempted suicide, and a family history of drug abuse."
3,anxious depression,anxious depression,associated with,more medical comorbidity,more medical comorbidity,patient with anxious depression be significantly more likely than those with nonanxious depression to report melancholic or atypical symptom features and to have more medical comorbidity (as measure by the cumulative illness rating scale score).
4,anxious depression,anxious depression,results,remission rates significantly lower,lower remission rates,"remission rate be significantly lower in patient with anxious depression, according to both the ham-d criterion (22.2% versus 33.4%) and the qids-sr criterion (27.5% versus 38.9%)."
5,anxious depression,anxious depression,associated with,"generalized anxiety disorder, panic disorder, social phobia, obsessive-compulsive disorder, posttraumatic stress disorder, agoraphobia, hypochondriasis, and somatoform disorder",various comorbid conditions,"individual with anxious major depressive disorder be more likely to meet psychiatric diagnostic screening questionnaire criterion for generalized anxiety disorder, panic disorder, social phobia, obsessive-compulsive disorder, posttraumatic stress disorder, agoraphobia, hypochondriasis, and somatoform disorder."
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression is more common than nonanxious depression in the african american group, hispanics, primary care patients, unemployed, married then divorced/widowed, less education, public insurance, lower-income."
1,anxious depression,anxious depression,associated with,greater reduction in anxiety/somatization score,greater reduction anxiety/somatization,patients with anxious depression have a greater reduction in anxiety/somatization score than those with nonanxious depression.
2,anxious depression,anxious depression,associated with,greater residual symptoms of anxiety/somatization at endpoint,greater residual symptoms anxiety/somatization,but they (anxious depression patients) also have greater residual symptoms of anxiety/somatization at endpoint than those without anxious depression.
3,anxious depression,anxious depression,side effects,"greater frequency, intensity, and burden of side effects than nonanxious depression group",greater side effects,"the anxious depression group have a greater frequency, intensity, and burden of side effects than the nonanxious depression group."
4,anxious depression,anxious depression,results,more serious adverse events than nonanxious depression group,more serious adverse events,the anxious depression group ... as well as more serious adverse event.
5,anxious depression,anxious depression,results,40 hospitalizations for general medical conditions,40 hospitalizations,the number of hospitalizations for general medical conditions was strikingly different between the two groups: 40 among the patients with anxious depression compared with 18 among those with nonanxious depression.
6,anxious depression,anxious depression,associated with,longer time to first remission than nonanxious depression,longer time to remission,the time to first remission ... differ significantly between the anxious and nonanxious depression groups: those with nonanxious depression achieve remission and response sooner on average than those with anxious depression.
0,anxious depression,anxious depression,associated with,poor treatment outcome with citalopram,poor treatment outcome with citalopram,"""consistent with much of the literature (10–13), we find in level 1 of star*d that patients with anxious depression are less likely to respond or to remit with citalopram treatment than those with nonanxious depression."""
1,anxiety / somatization factor,the total score of the ham-d anxiety / somatization factor,symptom,predictor of treatment outcome in anxious depression,predictor of treatment outcome,"""results of all the logistic regression models we use to assess this association show that the average r2 value range from 0.014 to 0.020, with the total score of the ham-d anxiety / somatization factor being the best predictor."""
2,anxious depression,anxious depression,associated with,low remission rate in both level 1 and 2 of star*d,low remission rate in star*d,"""in level 2 of star*d, patients with anxious depression were also less likely than those with nonanxious depression to achieve remission, regardless of whether their level 2 treatment was a switch option or an augmentation option."""
3,anxious depression,anxious depression,associated with,higher side effect burden and intensity,higher side effect burden and intensity,"""table 4. side effect and adverse event in patients in level 1 of star*d, by presence of anxious depression measures anxious depression total."""
4,anxious depression,anxious depression,associated with,serious adverse event and intolerance,serious adverse event and intolerance,"""serious adverse event 38 2.8 78 5.1 116 4.0 0.0020 ... intolerance 197 14.6 293 19.2 490 17.0 0.0013."""
0,anxious depression,anxious depression,subset,major depressive disorder,major depressive disorder,"""anxious depression might be a valid diagnostic subtype of major depressive disorder"""
1,nonanxious depression,nonanxious depression,subset,major depressive disorder,major depressive disorder,"""anxious depression might be a valid diagnostic subtype of major depressive disorder"""
2,anxious depression,anxious depression,associated with,specific treatment responsivity,specific treatment responsivity,"""anxious depression be associate with specific treatment responsivity"""
3,anxious depression,anxious depression,results,less likely to achieve remission than nonanxious depression after antidepressant treatment,less remission than nonanxious depression,"""patient with this subtype be less likely to achieve remission than those with nonanxious depression after antidepressant treatment"""
4,anxious depression,anxious depression,symptom,sensitivity to somatic changes,sensitivity to somatic changes,"""perhaps patient whose illness include anxious feature be more sensitive to somatic change occur during antidepressant treatment"""
5,anxious depression,anxious depression,side effects,"greater frequency, intensity, and burden of side effects",greater side effects,"""side effect frequency , intensity , and burden in level 1 be great among patient with anxious depression than among those with nonanxious depression"""
6,ham-d anxiety/somatization factor,ham-d anxiety/somatization factor,definition,a measure for severity of anxiety symptoms in anxious depression,severity measure for anxiety symptoms,"""our definition of anxious depression be base on the severity of anxiety symptom as measure by the ham-d anxiety/somatization factor"""
0,anxious depression,anxious depression,associated with,poor treatment outcome with antidepressant monotherapy,poor treatment outcome with antidepressant monotherapy,"""on the other hand, the association between anxious depression and poor treatment outcome with antidepressant monotherapy in level 1 of star*d holds true regardless of how we define anxious depression."""
1,anxious depression,anxious depression,associated with,"high physical illness burden, lower socioeconomic status, greater severity of depression, and later onset of depression","high physical illness burden, lower socioeconomic status, greater severity of depression, later onset of depression","""finally, patients with anxious depression have a high physical illness burden, low socioeconomic status, greater severity of depression, and later onset of depression, all of which could themselves be associated with poor treatment outcome."""
2,citalopram and a benzodiazepine,citalopram and a benzodiazepine,treats,major depression with anxiety,major depression with anxiety,"""after 6 weeks of combined treatment with citalopram and a benzodiazepine, ms. d reports a significant improvement in all her symptoms, and remission was achieved at the end of the 10th week of treatment."""
3,citalopram,citalopram,side effects,"worsening of insomnia and nervousness, dry mouth, constipation","worsening of insomnia, nervousness, dry mouth, constipation","""within a few days of starting the medication, she called us expressing her concern about the side effects that she was experiencing; in particular, she was worried about the worsening of her insomnia and her nervousness. she also reported a number of physical symptoms, including dryness of mouth and constipation."""
4,benzodiazepine,benzodiazepine,treats,insomnia and agitation,insomnia and agitation,"""ms. d's anxiety escalated over the next few days, and a benzodiazepine was prescribed, which brought about a significant improvement in her insomnia and agitation."""
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression more common than nonanxious depression in african american group, hispanics, primary care patients, unemployed, married then divorced/widowed, less, education, public insurance, lower-income."
1,anxious depression,anxious depression,definition,major depressive disorder with anxious features,mdd with anxious features,"anxious depression: clinical, family history, and naturalistic outcome: comparison with panic and major depressive disorder."
2,nonanxious depression,nonanxious depression,definition,major depressive disorder without anxious features,mdd without anxious features,anxious and nonanxious depression.
3,mdd,major depressive disorder (mdd),subset,all depression,all depression,anxious depression among patients with major depressive disorder in star*d.
4,fluoxetine,fluoxetine,treats,anxious depression,anxious depression,"fluoxetine, placebo, and tricyclic antidepressant in major depression with and without anxious features."
